Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Tot_Expenses,Tot_Purchases,Age,Tot_children,Income
58,3,8,10,4,7,1617,25,67,0,58138.0
38,2,1,1,2,5,27,6,70,2,46344.0
26,1,8,2,10,4,776,21,59,0,71613.0
26,2,2,0,4,6,53,8,40,1,26646.0
94,5,5,3,6,5,422,19,43,1,58293.0
16,2,6,4,10,6,716,22,57,1,62513.0
34,4,7,3,7,6,590,21,53,1,55635.0
32,2,4,0,4,8,169,10,39,1,33454.0
19,1,3,0,2,9,46,6,50,1,30351.0
68,1,1,0,0,20,49,2,74,2,5648.0
11,1,1,0,2,7,19,4,41,1,52350.90044356826
59,1,2,0,3,8,61,6,48,0,7500.0
82,1,3,4,8,2,1102,16,65,0,63033.0
53,3,6,1,5,6,310,15,72,2,59354.0
38,1,1,0,3,8,46,5,37,0,17323.0
23,1,7,6,12,3,1315,26,78,0,82800.0
51,3,3,0,3,8,96,9,44,2,41850.0
20,2,4,1,6,7,317,13,78,0,37760.0
91,2,11,4,9,5,1782,26,75,1,76995.0
86,2,2,1,3,6,133,8,39,1,33812.0
41,1,4,2,5,8,316,12,42,0,37040.0
42,15,0,28,0,1,1730,43,45,1,2447.0
63,3,2,3,9,8,972,17,75,1,58607.0
0,3,6,2,9,4,544,20,70,1,65324.0
69,7,7,1,5,8,444,20,73,1,40689.0
89,2,2,1,3,7,75,8,55,0,18589.0
4,4,5,1,4,7,257,14,48,2,53359.0
19,0,27,0,0,1,637,27,38,1,52350.90044356826
26,2,2,1,4,3,131,9,35,1,38360.0
96,1,6,9,10,2,1672,26,59,0,84618.0
34,2,3,0,3,5,30,8,35,0,10979.0
56,1,2,5,3,3,318,11,61,0,38620.0
31,2,2,1,4,5,120,9,54,1,40548.0
8,6,4,1,6,6,302,17,72,2,46610.0
4,1,3,5,9,7,1196,18,78,0,68657.0
55,1,2,0,3,7,65,6,73,2,49389.0
37,5,5,6,12,2,913,28,54,1,67353.0
76,3,3,1,2,7,81,9,48,1,23718.0
99,2,1,1,3,5,67,7,51,1,42429.0
53,2,7,10,5,6,902,24,81,0,48948.0
3,2,8,6,5,4,1395,21,44,1,80011.0
88,2,2,0,3,8,53,7,39,1,20559.0
4,1,0,0,3,5,22,4,67,1,21994.0
80,1,1,3,4,2,186,9,65,0,52350.90044356826
19,3,2,0,3,5,31,8,49,1,7500.0
72,1,2,4,9,1,984,16,48,0,79941.0
24,3,3,1,3,9,122,10,28,0,7500.0
92,1,2,0,2,10,55,5,56,1,41728.0
96,3,2,1,4,6,124,10,73,3,52350.90044356826
39,9,5,2,12,8,1319,28,70,2,72550.0
29,1,4,2,10,2,507,17,67,1,65486.0
2,1,6,9,13,3,1693,29,60,0,79143.0
54,2,2,0,3,7,72,7,47,1,35790.0
54,1,4,9,7,1,1617,21,47,0,82582.0
57,7,4,2,10,3,606,23,46,2,66373.0
55,1,3,10,13,1,1957,27,69,0,82384.0
30,1,5,5,10,3,1093,21,58,0,70287.0
31,1,1,0,4,3,29,6,36,1,27938.0
57,2,2,0,3,6,46,7,42,1,52350.90044356826
63,3,8,2,6,7,518,19,56,1,55954.0
12,1,3,6,11,1,1438,21,42,0,75777.0
18,4,4,2,12,3,612,22,49,2,66653.0
26,4,8,2,10,7,884,24,72,1,61823.0
8,1,7,3,8,5,606,19,73,1,67680.0
29,1,7,4,4,4,1076,16,76,0,70666.0
75,1,1,1,2,7,34,5,53,1,25721.0
0,1,1,0,2,7,11,4,57,2,32474.0
19,1,11,10,10,5,1274,32,45,1,88194.0
4,1,5,2,10,4,653,18,66,1,69096.0
90,7,2,5,5,5,1562,19,54,3,74854.0
1,3,4,8,6,3,1253,21,70,0,66991.0
25,3,3,0,3,8,109,9,51,1,52350.90044356826
29,4,10,3,13,7,863,30,65,1,65031.0
88,5,9,2,8,7,661,24,49,2,60631.0
58,1,2,1,4,2,65,8,72,0,28332.0
68,1,1,0,2,6,13,4,47,1,40246.0
34,1,7,6,5,5,1890,19,52,0,75251.0
40,0,5,8,9,4,2209,22,48,0,75825.0
12,1,0,0,3,3,18,4,48,0,26326.0
9,2,10,1,8,8,692,21,59,0,56046.0
87,4,3,1,4,8,165,12,39,1,29760.0
5,1,1,0,2,7,16,4,55,1,26304.0
87,3,3,0,3,7,79,9,51,1,23559.0
18,1,3,10,13,1,778,27,37,0,81361.0
95,2,1,0,4,7,56,7,64,2,29440.0
48,5,3,1,4,7,151,13,54,2,36138.0
3,4,6,1,6,7,372,17,67,1,50388.0
70,1,5,6,7,2,1366,19,51,0,79593.0
79,1,2,2,5,2,194,10,57,1,54178.0
4,12,7,2,8,9,603,29,67,3,52350.90044356826
45,1,1,0,2,7,18,4,67,2,52350.90044356826
87,1,2,4,8,1,985,15,51,0,52350.90044356826
69,1,1,0,3,7,32,5,52,1,42394.0
84,3,3,1,3,5,43,10,54,1,23626.0
30,1,2,0,3,6,45,6,41,1,30096.0
72,5,7,4,6,6,606,22,64,1,47916.0
37,2,2,0,3,7,63,7,52,2,51813.0
44,1,5,7,12,2,978,25,73,0,78497.0
32,2,5,2,7,5,410,16,41,0,50150.0
0,2,2,0,3,8,72,7,64,1,47823.0
43,2,2,0,3,6,55,7,65,1,34554.0
59,2,9,5,11,5,1169,27,45,1,85693.0
68,1,6,3,6,4,1120,16,79,0,65846.0
35,1,3,11,5,1,1097,20,65,0,87195.0
94,1,1,0,3,5,29,5,45,1,24594.0
15,4,4,1,4,7,187,13,60,2,49096.0
56,4,6,4,12,6,910,26,55,2,52413.0
17,2,3,1,3,7,145,9,46,1,38557.0
18,1,5,4,4,2,850,14,64,0,89058.0
46,1,6,6,11,3,969,24,45,1,77298.0
40,1,7,4,5,9,1820,17,33,0,68126.0
27,3,8,1,8,6,608,20,61,1,57288.0
95,1,6,7,11,3,730,25,33,0,86037.0
19,5,6,4,6,7,551,21,44,1,43974.0
27,2,2,1,3,6,114,8,62,2,50785.0
25,0,4,6,5,1,1724,15,54,0,90765.0
74,5,9,1,5,9,577,20,46,1,36550.0
85,2,1,1,3,5,81,7,57,2,30753.0
37,2,2,0,3,6,33,7,55,1,21918.0
65,4,6,2,10,4,660,22,71,1,56129.0
13,3,2,1,3,5,80,9,57,1,32557.0
63,2,1,0,3,7,30,6,39,2,19510.0
83,1,1,0,3,7,43,5,48,1,30992.0
69,0,6,8,13,2,1135,27,41,0,101970.0
87,2,3,4,7,1,559,16,59,0,71488.0
37,1,3,6,6,1,1923,16,40,0,79607.0
51,2,2,0,4,6,90,8,71,2,54348.0
23,3,6,1,7,6,404,17,63,1,52350.90044356826
72,4,6,3,10,4,661,23,68,2,77376.0
10,5,5,4,5,5,463,19,72,1,62998.0
42,5,11,1,6,8,632,23,66,2,61331.0
10,1,7,2,9,4,725,19,55,0,73448.0
96,1,6,5,7,4,725,19,61,1,52350.90044356826
51,5,5,1,5,8,279,16,60,2,41551.0
21,1,4,5,13,3,1482,23,57,0,62981.0
31,2,1,0,3,8,29,6,48,1,9548.0
61,3,2,2,2,8,106,9,65,3,33762.0
37,2,1,1,2,5,49,6,51,2,35860.0
74,2,2,0,3,7,38,7,59,2,36921.0
46,1,5,4,12,2,2077,22,32,0,92859.0
4,2,3,5,7,7,1053,17,48,1,65104.0
73,1,5,7,10,2,1385,23,62,0,86111.0
47,3,8,5,9,6,871,25,50,1,68352.0
13,3,4,2,3,7,312,12,36,1,41883.0
36,3,3,3,6,8,877,15,48,2,59809.0
47,1,2,0,3,6,68,6,49,1,23957.0
49,1,1,0,2,8,22,4,43,1,38547.0
94,7,4,1,4,8,211,16,51,3,35688.0
65,1,2,1,4,3,127,8,58,0,49605.0
59,1,4,4,7,3,459,16,71,2,59354.0
96,4,8,1,6,6,460,19,55,1,65747.0
28,4,7,1,5,7,429,17,52,1,46344.0
12,4,3,0,4,6,89,11,36,1,34176.0
57,2,8,5,11,5,1021,26,72,1,61010.0
10,1,10,4,6,4,1381,21,75,0,69372.0
4,3,6,1,5,7,306,15,66,1,49967.0
49,1,0,0,3,4,18,4,46,3,60199.0
3,1,1,1,6,2,162,9,47,1,55375.0
64,1,3,4,10,1,1231,18,69,0,80317.0
0,1,1,0,2,7,13,4,66,3,30523.0
20,2,10,6,9,6,1706,27,79,0,70356.0
91,4,3,0,4,8,121,11,40,1,23228.0
9,1,5,4,10,2,1293,20,49,0,74165.0
98,15,0,22,0,0,1608,37,51,1,157243.0
